scenario,simul,run,eval_LP,eval_LP_heuristic,eval_greedy,tt_eval_LP,tt_eval_LP_heuristic,tt_eval_greedy,rejects_LP,rejects_LP_heuristic,rejects_greedy,prec_rejects_LP,prec_rejects_LP_heuristic,prec_rejects_greedy,num_workers,C
scenario1,simul2,4,267.5719977094481,329.73573784311,257.9168575004126,265.17283653144034,327.28384238545163,257.3501940178212,113,74,126,38.435374149659864,25.170068027210885,42.857142857142854,4,45
scenario1,simul2,5,264.2533636729062,325.5861325097586,257.9168575004126,262.07040400358176,323.18278736907735,257.3501940178212,115,76,126,39.1156462585034,25.85034013605442,42.857142857142854,4,45
scenario1,simul2,6,265.749691457551,311.44737850435666,257.9168575004126,263.4995529829115,309.518573773762,257.3501940178212,114,87,126,38.775510204081634,29.591836734693878,42.857142857142854,4,45
scenario1,simul2,7,267.2659464205237,316.47511829510256,257.9168575004126,264.9941248269653,314.60580259591734,257.3501940178212,113,82,126,38.435374149659864,27.891156462585034,42.857142857142854,4,45
scenario1,simul2,8,266.1064898954254,327.30869957852883,257.9168575004126,263.79772806917975,324.75160616617296,257.3501940178212,114,75,126,38.775510204081634,25.510204081632654,42.857142857142854,4,45
scenario1,simul2,9,267.2740768306385,311.49641164810805,257.9168575004126,264.98220347579587,309.6426098993101,257.3501940178212,113,86,126,38.435374149659864,29.25170068027211,42.857142857142854,4,45
scenario1,simul2,10,267.3285350253982,319.071913499743,257.9168575004126,264.9254382813273,317.0128413211971,257.3501940178212,113,81,126,38.435374149659864,27.551020408163264,42.857142857142854,4,45
scenario1,simul3,1,272.4204346627135,310.1886339458131,262.3731729728588,269.90337948159777,308.4011596270079,261.9710685309152,110,86,123,37.414965986394556,29.25170068027211,41.83673469387755,4,45
scenario1,simul3,2,275.0257782542834,327.58608962969834,262.3731729728588,272.53606074150827,325.50841333002796,261.9710685309152,108,75,123,36.734693877551024,25.510204081632654,41.83673469387755,4,45
scenario1,simul3,3,274.00869200305374,312.5894583079646,262.3731729728588,271.43923169248177,310.7938372743496,261.9710685309152,109,85,123,37.074829931972786,28.91156462585034,41.83673469387755,4,45
scenario1,simul3,4,273.64528342755705,317.133912303119,262.3731729728588,271.09280295965516,315.20595308188877,261.9710685309152,109,82,123,37.074829931972786,27.891156462585034,41.83673469387755,4,45
scenario1,simul3,5,273.8529972929955,309.1407027358846,262.3731729728588,271.42373423096006,307.5546309293918,261.9710685309152,109,87,123,37.074829931972786,29.591836734693878,41.83673469387755,4,45
scenario1,simul3,6,275.0257782542834,327.5914573249366,262.3731729728588,272.54486932329587,325.5199163469726,261.9710685309152,108,74,123,36.734693877551024,25.170068027210885,41.83673469387755,4,45
scenario1,simul3,7,275.4412546333357,324.876524286482,262.3731729728588,272.95958644184407,323.3026172234852,261.9710685309152,108,77,123,36.734693877551024,26.19047619047619,41.83673469387755,4,45
scenario1,simul3,8,272.0684209677111,317.3152550404492,262.3731729728588,269.50270831019986,315.1129568174121,261.9710685309152,110,80,123,37.414965986394556,27.210884353741495,41.83673469387755,4,45
scenario1,simul3,9,273.569577399864,314.17654915956564,262.3731729728588,271.1315952819076,312.6613892548898,261.9710685309152,109,84,123,37.074829931972786,28.571428571428573,41.83673469387755,4,45
scenario1,simul3,10,273.56027044026075,317.46225127400714,262.3731729728588,271.1454575914973,315.8494206573553,261.9710685309152,109,82,123,37.074829931972786,27.891156462585034,41.83673469387755,4,45
scenario1,simul4,1,262.5373298078597,316.80438097221054,256.7598231681027,260.4503535306669,315.0421802120326,256.62466328897773,116,83,127,39.45578231292517,28.231292517006803,43.197278911564624,4,45
scenario1,simul4,2,259.485350104075,309.8527708778439,256.7598231681027,257.4954032328349,307.96435741838104,256.62466328897773,118,87,127,40.136054421768705,29.591836734693878,43.197278911564624,4,45
scenario1,simul4,3,262.50010491189073,315.23457066544916,256.7598231681027,260.40137800820315,313.4249720274682,256.62466328897773,116,83,127,39.45578231292517,28.231292517006803,43.197278911564624,4,45
scenario1,simul4,4,261.0178133169513,315.20771151727797,256.7598231681027,258.90662027239756,313.1137123869589,256.62466328897773,117,83,127,39.795918367346935,28.231292517006803,43.197278911564624,4,45
scenario1,simul4,5,262.53011076914765,304.6511026386315,256.7598231681027,260.4721456285637,303.2787185264089,256.62466328897773,116,90,127,39.45578231292517,30.612244897959183,43.197278911564624,4,45
scenario1,simul4,6,264.0542518366367,318.44979377754345,256.7598231681027,261.9183995522794,316.2222499953126,256.62466328897773,115,81,127,39.1156462585034,27.551020408163264,43.197278911564624,4,45
scenario1,simul4,7,260.9711943796283,316.94259424599784,256.7598231681027,258.9438573708036,314.9271623702198,256.62466328897773,117,81,127,39.795918367346935,27.551020408163264,43.197278911564624,4,45
scenario1,simul4,8,259.49256914278703,305.04796197299123,256.7598231681027,257.4736111349382,303.30817743149703,256.62466328897773,118,91,127,40.136054421768705,30.952380952380953,43.197278911564624,4,45
scenario1,simul4,9,262.49965539401677,319.2932439293247,256.7598231681027,260.46632657433656,317.3887021391041,256.62466328897773,116,80,127,39.45578231292517,27.210884353741495,43.197278911564624,4,45
scenario1,simul4,10,260.9860819749264,308.0547233293113,256.7598231681027,258.8659583700503,306.3954923092157,256.62466328897773,117,88,127,39.795918367346935,29.931972789115648,43.197278911564624,4,45
scenario2,simul0,1,267.3512919471999,319.22208644400234,252.08824941050642,265.146926358888,317.69051747142794,251.85463577466285,107,76,124,37.282229965156795,26.480836236933797,43.20557491289198,4,45
scenario2,simul0,2,268.89866195562354,323.3515698928415,252.08824941050642,266.5995228744538,321.6244940898787,251.85463577466285,106,73,124,36.933797909407666,25.43554006968641,43.20557491289198,4,45
scenario2,simul0,3,266.2592040263088,310.33013823459146,252.08824941050642,264.17109294800645,308.43113051338446,251.85463577466285,108,81,124,37.63066202090592,28.222996515679444,43.20557491289198,4,45
scenario2,simul0,4,265.87321956778896,318.8247655979859,252.08824941050642,263.7182873469932,316.70060729896807,251.85463577466285,108,77,124,37.63066202090592,26.829268292682926,43.20557491289198,4,45
scenario2,simul0,5,269.2979148066736,315.44384299311105,252.08824941050642,267.05423056007294,313.5102757641383,251.85463577466285,106,78,124,36.933797909407666,27.177700348432055,43.20557491289198,4,45
scenario2,simul0,6,266.2723214491273,318.4484395239096,252.08824941050642,264.18541445630353,316.2326973973941,251.85463577466285,108,76,124,37.63066202090592,26.480836236933797,43.20557491289198,4,45
scenario2,simul0,7,268.88554453280506,322.3992117790867,252.08824941050642,266.58520136615664,320.25066712687703,251.85463577466285,106,73,124,36.933797909407666,25.43554006968641,43.20557491289198,4,45
scenario2,simul0,8,267.79345661191394,328.5666077208834,252.08824941050642,265.60936795527505,326.28300324953705,251.85463577466285,107,70,124,37.282229965156795,24.390243902439025,43.20557491289198,4,45
scenario2,simul0,9,269.2979148066736,316.79737059354954,252.08824941050642,267.05423056007294,314.85762571893156,251.85463577466285,106,77,124,36.933797909407666,26.829268292682926,43.20557491289198,4,45
scenario2,simul0,10,266.2426780279935,317.54110014124325,252.08824941050642,264.1795826301416,315.4681597111527,251.85463577466285,108,77,124,37.63066202090592,26.829268292682926,43.20557491289198,4,45
scenario2,simul1,1,259.9898155905734,308.46495036588163,250.64904091890725,257.84293244554283,306.63807732052686,250.28055378706912,112,83,125,39.02439024390244,28.9198606271777,43.55400696864111,4,45
scenario2,simul1,2,259.8600532558394,322.855825642246,250.64904091890725,257.59191995073195,320.49221156592216,250.28055378706912,112,73,125,39.02439024390244,25.43554006968641,43.55400696864111,4,45
scenario2,simul1,3,256.916989941574,321.1089783945374,250.64904091890725,254.83214846476875,319.0436370075148,250.28055378706912,114,74,125,39.721254355400696,25.78397212543554,43.55400696864111,4,45
scenario2,simul1,4,259.86778177823544,318.19829033780206,250.64904091890725,257.60212991427363,316.1084729206425,250.28055378706912,112,75,125,39.02439024390244,26.13240418118467,43.55400696864111,4,45
scenario2,simul1,5,258.36490202068285,313.59964507358325,250.64904091890725,256.13654389560463,311.7324577487341,250.28055378706912,113,80,125,39.37282229965157,27.874564459930312,43.55400696864111,4,45
scenario2,simul1,6,259.9425764345258,311.80811049020105,250.64904091890725,257.6858767482653,310.1090565320874,250.28055378706912,112,80,125,39.02439024390244,27.874564459930312,43.55400696864111,4,45
scenario2,simul1,7,258.4417845978643,311.9170758100711,250.64904091890725,256.2745777308855,310.22997224472897,250.28055378706912,113,80,125,39.37282229965157,27.874564459930312,43.55400696864111,4,45
